메뉴명,요리종류,중량,열량,탄수화물,단백질,지방,나트륨,해쉬태그,재료정보
해물김치찌개,국&찌개,,90.5,1.2,1.1,0.4,611.8,,"재료 바지락(100g), 주꾸미(100g), 김치(150g), 무(50g), 마늘(10g)
대파(10g), 양파(40g), 두부(50g), 참기름(5g), 배즙(50g), 팽이버섯(10g)
육수 다시마(5g), 멸치(10g), 물(300g)"
맑은부대찌개,국&찌개,,395.9,8.67,6.23,2.41,334.9,,"재료 느타리버섯(10g), 두부(50g), 콩나물(10g)
배추(40g), 미나리(20g), 돼지고기(50g)
쇠고기(50g), 불린 당면(10g), 조랭이떡(30g)
다시마육수 다시마(3g), 양파(30g), 대파(20g)
무(30g), 마른 고추(5g)
고기완자양념 생강즙(2g), 다진 파(10g)
다진 마늘(5g), 후춧가루(0.1g), 소금(0.1g"
나가사키부대찌개,국&찌개,,342.7,3.99,5.37,3.63,778,,"재료 통조림 햄(30g), 우유(100g), 실곤약(50g), 양파(30g), 느타리버섯(25g)
표고버섯(10g), 팽이버섯(30g), 청양고추(5g), 붉은 고추(5g), 감자(30g)
무(30g), 두부(40g), 애호박(30g), 깻잎(3g), 쑥갓(10g)
완자 다진 돼지고기(20g), 다진 파(5g), 다진 마늘(5g), 후춧가루(1g)
소금(1g), 밀가루(10g), 달걀노른자(20g)
육수 사골육수(300g), 다시마(5g)
양념 들깻가루(15g)"
삼계부대찌개,국&찌개,,299.9,8.26,4.46,0.09,163.6,가슴살,"재료 닭가슴살(100g), 당근(20g), 붉은 고추(6g)
풋고추(6g), 대파(6g), 쑥갓(4g), 표고버섯(14g)
애호박(60g), 김치(40g), 팽이버섯(40g)
당면(21g), 숙주(40g), 떡(40g)
육수 당귀(10g), 대추(20g), 오가피(30g), 함초(20g)
양념장 겨자가루(5g), 고춧가루(20g), 콩가루(5g), 쌀겨(5g), 다진 마늘(3g)"
쑥갓부대찌개,국&찌개,,236.7,2.85,3.67,3.26,825.1,,"재료 통조림 햄(55g), 애호박(35g), 두부(40g), 팽이버섯(40g), 청양고추(10g)
김치(65g), 다시마(5g), 쑥갓(7g)
양념장 설탕(0.5g), 고춧가루(1g), 다진 마늘(5g), 고추장(5g)"
들깨순두부찌개,국&찌개,,171.7,2.92,2.8,1.36,111.6,,"재료 굴(40g), 멸치(2g), 표고버섯(10g), 느타리버섯(40g), 무(20g)
양파(10g), 미나리(10g), 대파(3g), 붉은 고추(2g), 순두부(100g)
양념 다진 마늘(1g), 들깻가루(10g), 국간장(1.5g), 소금(0.5g)"
백태순두부찌개,국&찌개,,165.4,2.4,3.08,1.13,640.3,,"재료 콩(백태, 30g), 느타리버섯(10g), 표고버섯(10g), 애호박(20g)
양파(10g), 대파(5g), 붉은 고추(2g), 풋고추(2g), 바지락(30g)
저염된장(10g), 새우(25g), 순두부(120g)
육수 마른 다시마(1g), 멸치(1g), 물(250g)"
버섯순두부찌개,국&찌개,,194.9,3.41,2.76,1.61,590.2,,"재료 표고버섯(10g), 애호박(40g), 감자(40g), 양파(10g), 미나리(10g)
부추(5g), 대파(3g), 청양고추(3g), 순두부(150g)
육수 다시마(3g), 표고버섯 밑동(3g)
양념 저염된장(10g), 찹쌀가루(5g), 다진 마늘(1g), 들깻가루(10g)
저염국간장(1.5g)"
토란순두부찌개,국&찌개,,312.7,2.93,3.48,2.96,409.2,,"재료 토란(40g), 표고버섯(20g), 붉은 고추(1g), 청양고추(2g)
백합(150g), 들깻가루(40g), 순두부(150g)"
토마토스프파스타,일품,,282.6,37,10.4,10.4,41.4,먹물파스타,"홀토마토 200g, 토마토 100g, 다진양파 30g, 다진마늘 20g, 먹물파스타 25g, 치즈 25g
파슬리가루 1g, 함초소금 1g, 올리브오일 30g
곁들이 야채 : 양파 20g, 가지 20g, 2가지색 파프리카 20g, 애호박 20g"
다이어트국수,일품,,36.9,6.1,0.1,1.4,490.7,물김치,"실곤약 200g, 물김치국물 200g, 오이 25g, 달걀 1개(60g)
당근 20g, 양파 50g, 통깨 3g, 레몬즙 15g
탄산수 50ml, 어간장 5g"
오징어구이,반찬,,278.1,24.8,22.9,9.7,611.4,,"오징어 300g, 미니파프리카 40g, 양파 50g, 청고추 15g, 홍고추 15g
양념장 : 다진마늘 15g, 고춧가루 15g, 홀토마토 50g, 고추장 15g, 설탕 15g
올리고당 15g, 후추 1g, 참기름 15g
고명 : 볶은 현미 15g"
배숙구이,후식,,196.3,47,1.3,0.3,21.6,방울토마토,"배 750g, 후르츠칵테일 150g, 생강청 50g, 방울토마토 60g, 탄산수 200g"
웰빙스테이크,일품,,273,19.2,19.2,13.2,204.4,등심,"쇠고기등심 240g, 시금치 50g, 마늘 15g, 양파 50g, 건바질 2g
감자 60g, 레몬 25g, 파슬리가루 1g
소스 : 르네디종 홀그레인머스터 15g, 사과 80g, 버터 15g"
오징어콩순대,일품,,213.5,25,17.9,4.7,295.4,,"오징어 1마리(220g), 옥수수 30g, 귀리밥 50g, 강낭콩 20g
당근 20g, 미니파프리카 20g, 피망 20g, 대파 10g, 양파 25g
카레가루 25g, 흰후추 1g, 다진마늘 5g, 참기름 15g, 밀가루 15g, 레몬즙 15g"
토마토소고기장조림,반찬,,282.6,20.4,31.2,8.5,941.7,우둔살,"소고기 우둔살 200g, 메추리알 100g, 방울토마토 100g, 마늘 30g, 꽈리고추 50g, 양파 45g
양념장 : 맛간장 30g, 흰후추 1g, 어간장 15g, 설탕 15g"
토마토소고기찜,반찬,,302.9,11.2,26.6,16.8,289.3,우둔살,"소고기우둔살 200g, 샐러리 40g, 당근 30g, 양파 50g
화이트와인 25g, 홀토마토 100g, 버터 20g, 레몬 25g, 흰후추 1g, 파슬리가루 2g, 함초소금 1g"
맛간장삼치구이,반찬,,220.9,5.2,30.2,8.8,570.8,,"삼치 200g, 생강 50g, 대파 100g, 통깨 1g, 버터 10g
소스 : 맛간장 30g, 생강청 25g, 커피 1g"
삼겹살꼬치구이,반찬,,289.5,805,11.2,23.4,59.8,삼겹살,"삼겹살 200g, 방울토마토 100g, 마늘기름 15g, 후추 1g, 로즈마리 1g, 통후추 2g
대파 20g, 마늘 10g, 꽈리고추 25g
대파채 : 대파 25g, 고춧가루 1g, 레몬즙 2g"
새우아욱죽,밥,,201.3,34,13.1,1.4,471.6,저염된장,"귀리밥 100g, 아욱 30g, 건새우 25g, 칵테일새우 25g, 저염 된장 30g"
까르보나라뇨끼,일품,,351.9,29.1,13.2,20.3,347.2,,"감자 220g, 깻잎 10g, 베이컨 25g, 백일송이 25g
다진마늘 15g, 다진양파 25g, 다진대파 25g, 흰후추 3g, 버터15g, 우유 200g
생크림 30g, 설탕 10g, 치즈가루 15g"
호박죽,일품,,150.1,26.8,5.6,2.3,101.4,,"단호박 200g, 찹쌀가루 100g, 브로콜리 50g, 양파 60g, 볶은 현미 25g
버섯마늘소금 2g, 흰후추 1g, 치즈가루 15g"
라이스버거떡갈비,반찬,,206.2,28.3,12.4,4.8,206.1,다짐육,"라이스버거 : 밥 200g, 맛간장 15g, 전분가루 15g, 팽이버섯 20g, 흰후추 1g, 달걀 60g
떡갈비 : 다진소고기 50g, 다진돼지고기 50g, 다진양파 30g, 다진쪽파 15g, 맛간장 10g, 후추 1g
토마토겉절이 : 토마토 80g, 미나리 20g, 맛간장 5g, 청고추 15g, 홍고추 15g"
고추김치,반찬,,58,11.4,0,1.4,144.2,,"오이고추 160g
절임물 : 해물육수 30g, 어간장 10g
소 : 영양부추 20g, 연근 20g, 무 20g, 고춧가루 15g, 생강청 15g, 통깨 1g"
누룽닭,반찬,,415.5,47.5,23.8,14.5,290.9,닭가슴살,"닭가슴살(120g), 생강즙(5g), 정종(10g), 시금치(20g)
당근(20g), 양파(20g), 샐러리(20g), 파프리카(20g)
느타리(20g), 주꾸미(30g), 새우(20g), 청경채(20g)
누룽지(50g), 튀김기름(200g), 육수(200g), 저염간장(10g)
녹말가루(10g), 마늘(10g), 소금(0.2g), 후춧가루(0.1g)"
광어스테이크,반찬,,487.2,19.8,32.2,31,192.9,,"광어(150g), 소금(0.3g), 후춧가루(0.02g), 밀가루(20g)
달걀(50g), 아몬드(20g), 호두(20g), 올리브오일(20g)
- 소스 : 플레인요거트(50g), 꿀(10g), 레몬즙(20g)"
치즈감자크로켓,후식,,588.5,40.1,14.8,41,362.3,,"감자(150g), 생크림(20g), 당근(20g), 양파(20g), 오이(20g)
소금(0.5g), 모짜렐라치즈(50g), 밀가루(20g), 달걀(50g)
빵가루(50g), 튀김기름(400g)"
코코넛밀크카레,반찬,,330.2,27,24,14,389.6,,"두부(100g), 소금(0.3g), 코코넛밀크(20g), 당근(20g)
양파(20g), 브로컬리(20g), 돼지고기(50g), 감자(20g)
버터(10g), 카레가루(30g), 물(250g)"
소고기리조또롤,밥,,382.5,18.7,36,18.2,416.6,,"쌀(50g), 강황가루(20g), 버터(10g)
마늘(10g), 양파(20g), 새송이(30g), 파프리카(30g)
소고기(150g), 소금(0.1g), 후춧가루(0.02g)
하얀된장(10g), 생크림(20g), 육수(200g)"
둥지튀김,반찬,,1028.5,149.1,242.2,37.3,74.9,백년초국수,"닭고기살(150g), 소금(0.3g), 후춧가루(0.2g), 달걀(50g)
녹말가루(20g), 백년초국수(20g), 뽕잎국수(20g)
치자국수(20g), 튀김기름(400g)
- 소스 : 레몬(10g), 설탕(20g), 연유(10g), 물(50g)
다진 마늘(10g), 생강(5g), 식초(20g), 녹말가루(20g)"
새우와스테이크,일품,,508.4,6.3,36.2,37.6,194.4,,"새우(60g), 버터(10g), 소고기(120g), 로즈마리(2g)
소금(0.3g), 후춧가루(2g)
- 소스 : 와인(50g), 설탕(20g), 당근(20g), 양파(20g)
토마토(30g), 마늘(20g), 대파(10g), 발사믹소스(20g)
- 곁들임채소 : 아스파라거스(20g), 브로컬리(20g)
새송이(20g), 가지(30g)"
함초삼겹,반찬,,618.4,22.5,31.8,44.6,136.9,함초,"통삼겹살(150g), 함초가루(10g), 소금(0.5g), 후춧가루(0.2g)
부추(30g), 버터(5g)
- 소스 : 유자청(20g), 쌈장(10g), 설탕(20g), 생크림(20g)
연두부(30g), 양파(20g), 당근(20g)"
햄버거스테이크,반찬,,420.4,8,30.4,29.6,193.2,다짐육,"다진 돼지고기(60g), 다진 소고기(60g), 다진 마늘(10g)
로즈마리(2g), 빵가루(20g), 후춧가루(0.2g), 파프리카(20g)
- 소스 : 양파(20g), 플레인요거트(20g), 설탕(10g)
매실액(10g), 식초(5g), 녹말가루(10g)
- 곁들임채소 : 어린잎(5g)"
유자삼치구이,반찬,,498.2,35,45.3,19.7,159.9,,"삼치(150g), 소금(0.3g), 녹말(20g), 식용유(10g),
- 소스 : 생강(10g), 유자청(50g), 레몬(20g)"
냉토마토파스타,일품,,202.3,34.1,8.1,3.7,213.5,,"토마토(50g), 브로컬리(20g), 펜네(100g), 올리브오일(10g)
후춧가루(0.1g)
- 소스 : 마늘(10g), 양파(20g), 당근(20g), 방울토마토(50g)
올리브오일(10g), 육수(400g), 설탕(10g)
소금(0.3g), 레몬즙(10g), 월계수잎(1장)"
닭고기또띠아,반찬,,516.4,82.8,21.6,11,831.7,,"또띠아(50g), 닭고기살(100g), 느타리버섯(20g), 사과(20g)
오이(20g), 파프리카(20g), 애호박(20g), 양파(20g), 식초(10g)
- 소스 : 아몬드(10g), 우유(20g), 머스터드(20g), 올리고당(20g)"
닭고기스테이크,반찬,,222.4,8,26.3,9.5,226.1,,"닭고기살(120g), 소금(0.5g), 후춧가루(0.1g), 생강(5g)
정종(5g), 우유(50g), 오이(20g), 토마토(20g)
두부(80g), 흑임자(20g), 우유(50g)"
오징어순대,반찬,,325.2,6.9,39.1,15.7,242.5,,"통오징어(100g), 양파(20g), 당근(20g), 부추(20g)
견과류(20g), 두부(50g), 대파(10g), 마늘(10g), 소금(0.5g)
녹말가루(10g), 정종(10g), 레몬(10g), 생강(5g)"
연어차우더스프,일품,,217.6,23.2,11.7,8.7,215.4,,"모시조개(50g), 연어(100g), 청피망(20g), 당근(20g)
양파(20g), 감자(50g), 밀가루(10g), 버터(5g), 육수(200g)
월계수잎(1장), 통후추(3알), 생크림(30g), 통마늘(10g)"
시금치브로컬리 파스타,일품,,400.5,68.4,15.3,7.3,77.2,스파게티면,"새우(대하, 3마리), 스파게티(100g), 시금치(30g),
브로콜리(50g), 바질(10g), 생크림(50g), 올리브오일(10g),
소금 (0.2g)"
야채찜을 곁들인 광어스테이크,일품,,259,16,18.9,13.2,398.9,저염간장,"광어(1마리), 당근(30g), 단호박(30g), 가지(1/2개),
파프리카(50g), 콜리플라워(50g), 레몬(1/4개), 와사비(5g),
발사믹소스(50g), 저염간장(30g), 청주(15g)"
연근부각,반찬,,162.2,25.3,2.6,5.6,67.7,,"연근(60g), 식초(10g), 천일염(0.1g), 계피가루(20g),
식용유(200g)"
오이냉국을 곁들인 오색쌈밥,밥,,379.4,77,9,4,522.8,안심,"돼지고기(안심, 100g), 쌀(200g), 도라지(30g), 애호박(1/2개),
양파(30g), 홍고추(1개), 미나리(20g), 오이(50g), 청포묵(20g),
쌈무(20g), 달걀(1개), 라이스페이퍼(5장), 고추장(20g),
소금(0.3g), 참기름(5g), 고춧가루(10g)"
카레탄두리치킨과 닭가슴살냉채,일품,,304.9,26.7,16.7,14.6,427,,"닭고기(1마리), 오곡(50g), 인삼(1뿌리), 대추(3알),
아스파라거스(3개), 당근(20g), 양파(30g), 오이(50g),
파프리카(50g), 카레가루(20g), 디종머스터드(30g)"
컬리플라워소스 광어스테이크,일품,,99.8,10.8,10.6,1.6,167.7,,"광어(1마리), 콜리플라워(50g), 감자(30g), 양파(20g),
시금치(20g), 가지(1/2개), 단호박(1/4개), 당근(30g),
우유(200g), 소금(0.2g), 후춧가루(0.01g)"
콜라비오미자 물김치,반찬,,71.6,15.6,1.7,0.2,151.4,콜라비,"콜라비(1/2개), 오미자(20g), 무화과(20g), 파프리카(50g),
피망(30g), 쪽파(10g), 양파(30g), 건새우(10g), 다시마(10g),
소금(0.3g)"
크림소스치킨롤,일품,,401,10.9,24.6,28.8,262.9,닭가슴살,"닭고기(가슴살, 150g), 새우(대하, 3마리), 베이컨(20g),
마늘(20g), 바질(5g), 아스파라거스(3개), 새송이버섯(1개),
치즈(1장), 버터(10g), 소금(0.2g), 후춧가루(0.01g)"
표고버섯 감자찜,반찬,,176.8,37.6,5.4,0.5,108.3,,"표고버섯(3개), 감자(200g), 고수(10g), 당근(30g), 양파(30g),
홍고추(1개), 녹말(20g)"
해물애호박 전병말이,반찬,,408.4,66.2,10.7,11.2,256.8,저염간장,"새우(3마리), 오징어(50g), 애호박(1/2개), 당근(20g),
깻잎(3장), 대추(2알), 밀가루(100g), 찹쌀가루(50g),
저염간장(20g), 식초(10g), 설탕(10g), 소금(0.2g)"
찬밥이용닭죽,밥,,234.5,29.8,20.2,3.3,327.6,닭다리,"찬밥 60g, 닭다리살 80g, 감자 30g, 통마늘 15g, 양파 10g, 당근 8g, 부추 5g, 물 700g, 소금 0.75g, 후춧가루 0.3g"
감자느타리버섯국,국&찌개,,53.3,6.8,5.2,0.8,404,,"감자 30g, 느타리버섯 15g, 두부 8g, 파 5g, 물 300g, 국멸치 5g, 홍고추 3g, 건다시마 3g, 다진 마늘 3g, 소금 0.5g"
민어매운탕,국&찌개,,147.7,11.7,16.2,4.6,532.1,양지,"- 주재료 : 민어 50g, 쇠고기 양지15g, 다진 마늘 1.25g, 후추 0.25g, 참기름 0.5g, 무 40g, 애호박 20g, 애느타리버섯 20g, 풋 고추 5g, 홍고추 2.5g, 쑥갓 10g, 대파 5g, 생강즙 0.5g, 물 300g, 소금 0.5g - 양념장 : 간 홍고추 10g, 간 양파 10g, 다진 마늘 2g, 국간장 2.5g, 간장 2.5g, 맛술 5g, 굵은 고춧가루 5g, 고운 고춧가루 1.25g"
아몬드치킨볼,반찬,,210.7,4.95,15.02,6.13,55.5,닭뼈,"재료 양송이버섯(5g), 버터(10g), 닭다리살(30g), 닭가슴살(50g), 아몬드(5g)
밀가루(10g), 우유(50g), 들깻가루(30g), 브로콜리(15g), 마늘(10g)
육수 닭뼈(90g), 양파(10g), 양송이버섯 밑동(5g), 마늘(5g)"
양배추롤,반찬,,227.8,18.36,12.01,6.75,127.6,부채살,"재료 현미(50g), 멥쌀(50g), 다시마(2g), 새우가루(15g), 양배추(50g)
얇게 썬 쇠고기(부채살, 80g), 송송 썬 붉은 고추(5g)
달래무침 달래(10g), 간장(10g), 참기름(5g)"
생선베이컨말이,반찬,,105.6,1.53,18.71,10.56,146.5,,"재료 피망(5g), 파프리카(10g), 시금치(15g), 저염베이컨(60g)
동태포(30g), 저염버터(10g), 생크림(10g), 새싹채소(0.1g)"
콩고기샐러드,반찬,,333.2,19.26,13.13,6.88,426.2,콩고기,"재료 콩고기(30g), 아보카도(10g), 바나나(10g), 가지(10g)
연근(10g), 방울토마토(10g), 만두피(20g)
저염간장양념 저염간장(2.5g), 물(25g), 설탕(3g)
허브오일드레싱 저염소금(1g), 식초(5g), 로즈마리(1g), 통후추(1g)
올리브유(15g), 꿀(5g)"
퀴노아닭가슴살샐러드,반찬,,173.5,7.25,9.14,2.55,33.8,가슴살,"재료 수박껍질(17g), 토마토(17g), 닭가슴살(80g), 감자(27g), 가지(17g)
양파(17g), 피망(34g), 아스파라거스(30g), 퀴노아(8g), 리코타치즈(5g)
양상추(9g), 플레인 요구르트(25g), 어린잎채소(1g)
복분자소스 복분자(50g), 레몬즙(10g)"
바나나크림파스타,일품,,684,21.25,5.99,12.89,327.8,,"재료 바나나(150g), 아보카도(110g), 토마토(100g), 저염베이컨(46g, 3장)
바질가루(1g), 마늘(10g), 양파(20g), 휘핑크림(80g), 저염치즈(40g)
우유(200g), 소금(2g), 스파게티면(60g)"
산채쌀파스타,일품,,176.7,23.01,3.47,1.15,297.3,,"재료 신선초(3g), 참나물(3g), 취나물(3g), 적겨자(3g), 깻잎(2g), 양파(8g)
오이(6g), 붉은 고추(5g), 풋고추(5g), 쌀파스타면(160g)
파스타소스 된장(4g), 청국장(16g), 양파(15g), 애호박(10g), 으깬 두부(25g)
다진 마늘(10g), 들기름(3g)"
황태포당면국수,일품,,338.5,17.26,0.95,0.27,72.4,,"재료 감자(80g), 양파(15g), 당근(10g), 대파(5g), 청양고추(3g), 팽이버섯(20g)
달걀(30g), 당면(70g), 쑥갓(5g)
육수 멸치(2g), 황태포(10g)
양념 다진 마늘(1g), 저염간장(2g), 소금(0.6g), 후춧가루(0.5g)"
닭갈비볶음면,일품,,543.4,18.32,4.04,3.39,228.8,가슴살,"재료 마늘(20g), 깻잎(2g), 쪽파(1g), 파프리카(60g), 양파(40g), 대파(10g)
방울토마토(50g), 닭가슴살(30g), 이태리시즈닝(1g), 라면(110g)
양념 카레가루(2g), 고춧가루(1g), 고추장(10g), 참기름(2g)"
오색볶음면,일품,,466.8,25.03,5.26,7.71,952.4,두반장,"재료 양파(40g), 청경채(30g), 두 가지 색 파프리카(각 15g씩)
쪽파(15g), 라면(60g), 채 썬 돼지고기(30g)
양념 다진 마늘(7g), 고추기름(5g), 설탕(4g), 두반장(8g), 라면스프(3g)"
로제소스라면,일품,,913.4,15.78,4.73,8.57,698.8,,"재료 새우(10g), 조개(20g), 홍합(20g), 새송이버섯(15g), 양파(8g)
토마토(100g), 라면(50g), 우유(200g), 생크림(100g), 월계수잎(5g)
정향(5g), 파르메산 치즈가루(5g), 파슬리가루(8g)"
라면월남쌈튀김,반찬,,422.1,25.83,5.98,15.17,445.1,우등심,"재료 라면(20g), 배(12g), 파인애플(15g), 파프리카(10g), 쇠고기(우둔살, 20g)
레드와인(20g), 매실청(20g), 라이스페이퍼(8g), 달걀(30g)
빵가루(25g), 어린잎채소(10g)
쇠고기 양념장 생강즙(1g), 저염간장(15g), 물(26g)
다진 양파(10g), 다진 파(5g), 다진 마늘(5g)"
삼겹살라면,일품,,525.2,14.66,3.25,2.97,332.7,삼겹살,"재료 라면(100g), 쪽파(3g)
육수 돼지고기(삼겹살, 60g), 대파(20g), 얇게 썬 생강(5g), 가다랑어포(3g)
조림양념 저염간장(3g), 맛술(8g), 흑설탕(3g)"
유자샐러드라면,일품,,307.9,26.6,3.14,4.86,145,,"재료 라면(55g), 양상추(40g), 케일(5g), 파프리카(20g), 비타민(5g)
유자드레싱 식초(2g), 레몬즙(5g), 유자청(15g), 올리브유(1g)"
주꾸미머리순대,반찬,,60,0.8,11.8,1.1,122,,"주꾸미 200g, 미나리 20g, 양파 25g, 당근 20g, 계란 60g
다진마늘 15g, 생강청 15g, 레몬즙 10g
소스 : 고추장 15g, 레몬즙 10g, 생강청 10g, 통깨 3g"
매실동치미,반찬,,76.8,18.4,0.7,0,79.2,함초,"무 50g, 연근 25g, 사과 25g, 배 30g, 함초소금 2g
국물 : 매실청 30g, 생강청 15g, 함초소금 1g, 청양고추 10g"
조기까스,반찬,,135.8,4.3,15.4,6.3,240.4,레드와인,"조기 1마리(250g), 허브크러스트 100g, 흰 후추 1g, 화이트와인 15g, 마늘오일 15g, 전분 15g
소스 : 고추장 15g, 저염간장 15g, 화이트와인 15g, 버터 5g
다진양파 15g, 흰후추 1g, 마늘오일 15g"
돼지머리수육맑은전골,일품,,233.4,20.7,103.8,10.6,552.7,돼지머리,"돼지머리 200g, 우동면 100g, 미나리 20g, 청고추 15g
소스 : 일본 된장 30g, 다진마늘 10g, 다진대파 10g, 청주 15g, 무 25g
육수 : 해물육수 300g, 청양고추 20g, 맛간장 15g"
파인애플볶음밥,밥,,285.3,36.6,12.3,10,280.1,,"밥 150g, 칵테일새우 50g, 파인애플 통조림 100g, 양파 60g, 청고추 15g
노란파프리카 20g, 빨간파프리카 20g, 마늘 15g, 계란 60g, 마늘기름 30g
흰후추 1g, 레몬소금 1g, 맛간장 15g, 통깨 10g"
연근초무침,반찬,,119.1,20.4,1.6,3.5,81.4,,"연근 200g, 양파 60g, 오이 40g, 밤 60g
소스 : 유자청 25g, 강황가루 2g, 잣 2g, 설탕 5g, 식초 15g"
코다리맑은찜,반찬,,96.7,1.1,19.1,1.8,431,함초,"코다리 250g, 콩나물 50g, 미나리 20g, 함초 25g, 무 30g, 함초소금 1g
양념 : 간편어간장 15g, 함초소금 1g, 생강청 15g, 흰후추 1g, 청주 15g
레몬즙 5g, 다진마늘 15g, 연겨자 7g, 통깨 10g"
뿌리채소두부선,반찬,,184.5,19.7,9.4,7.6,135,,"두부 300g, 전분 50g, 계란 60g, 흰후추 2g
소 : 우엉 30g, 인삼 15g, 감자 30g, 청고추 10g, 홍고추 15g, 마늘기름 15g, 흰후추 1g
소스 : 일본된장 15g, 마늘기름 15g, 들기름 15g, 식초 30g, 올리고당 5g
마요네즈 15g, 땅콩잼 30g, 참깨 2g"
사과장아찌,반찬,,291.2,64.9,1.9,2.7,736.7,,"풋사과 200g, 양파 80g, 청고추 20g, 홍고추 20g
소스 : 맛간장 30g, 식초 30g, 설탕 10g, 생강청 30g, 매실청 15g, 청주 30g"
해물들깨탕,국&찌개,,148.7,7.4,21.1,3.9,295.8,,"주꾸미 80g, 전복 100g, 칵테일새우 50g, 양파 560g
청고추 17g, 홍고추 17g, 계란 60g, 청주 15g
국물 : 거피한 들깨가루 100g, 저염간장 15g, 다진마늘 15g, 다진대파 7g"
참외깍두기,반찬,,64.1,13.9,1.5,0.3,464.1,저염간장,"참외 200g, 양파 60g, 청고추 17g, 홍고추 17g, 대파 15g, 미나리 20g
양념장 : 저염간장 15g, 생강청 10g, 고춧가루 10g, 통깨 5g, 다진마늘 5g"
